"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","sndp","num_offences"
"180",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,79.3,5.5,9.7,999.9,0.975146372595336
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,83.8,3.9,8.8,999.9,1.43567468304394
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,86.7,8.3,10,999.9,1.4766105328616
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,89.8,8.4,10,999.9,1.3231010960454
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,89.5,6.5,10,999.9,0.964912410140922
"185",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,92.3,6.5,10,999.9,1.13888977186595
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,86.9,8.7,10,999.9,1.50731242022484
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,77.2,12.3,10,999.9,1.81433129385724
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,77.9,5.2,10,999.9,1.52778034513367
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,76.5,8.3,10,999.9,1.41520675813512
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,75.7,7.5,10,999.9,1.16959165922919
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,79.8,6.6,10,999.9,1.27193128377333
"192",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,81.1,7.8,9.3,999.9,1.72222563176752
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.8,4.5,9,999.9,1.41520675813512
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,80.9,6.7,10,999.9,2.14181809239848
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,85.2,6.3,10,999.9,0.739765236143825
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,89.2,8.8,10,999.9,0.903508635414441
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,83.9,6.2,10,999.9,0.627191649145276
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,77,8.8,8.8,999.9,0.0540897516981192
"199",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,74.7,10.8,9.9,999.9,1.59941808231456
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,75.8,4.5,10,999.9,1.52778034513367
