"","temp","wdsp","visib","num_offences"
"1761",73,7,10,0.828949679100582
"1771",72.9,6.5,9.3,1.27123737255862
"1781",75.7,6.7,8.3,0.408776370315444
"1791",74.7,8.9,10,0.795778102091229
"1801",68,9.5,9.6,0.718377755736072
"1811",67.7,12.4,10,1.06115071816605
"183",64.6,9.5,10,0.464062331997699
"1841",64.1,6.1,8.5,0.453005139661248
"1851",69.1,3.7,8.7,1.19383702620346
"1861",73.9,4,9.6,1.66929629667086
"1871",75.3,4.3,9.9,0.541462678352856
"1881",77.2,5.9,10,0.718377755736072
"1891",78.4,7.8,9.6,0.508291101343503
"1901",79.7,5.2,9.1,0.508291101343503
"1911",81.2,7.8,9.7,0.375604793306091
"1921",72.9,6.5,10,0.519348293679954
"1931",71.8,4.2,10,1.20489421853992
"1941",74.3,6,10,1.20489421853992
"1951",78.3,7.2,10,1.19383702620346
"1961",79.8,4.5,10,1.98995487442794
"1971",81,5.5,10,0.762606525081876
"1981",85.2,6.1,10,1.03903633349315
"1991",85.2,6.5,10,0.906350025455739
"2001",86.4,11.8,10,0.729434948072523
"2011",80,7.9,9.7,0.884235640782837
"2021",76.2,6,10,1.0058647564838
"2031",76.3,5.4,10,1.81303979704472
"2041",74.9,9.3,10,0.961635987137994
"2051",66.3,8.8,10,1.39286648825958
"2061",68.2,3.5,10,0.884235640782837
"2071",69.1,7.7,9.5,1.70246787368021
"2081",62.4,8.4,9.9,0.629920217044464
"2091",59.8,8.7,10,0.231861292932228
"2101",65.3,6,10,0.58569144769866
"2111",66.3,5.2,10,0.58569144769866
"2121",67.6,3.2,7.2,0.0549462155490119
"2131",70,6.9,9.5,2.14475556713825
"2141",72.1,6.6,9.8,1.44815244994184
"2151",73.8,6.6,10,1.49238121928764
"2161",68.6,6.1,10,0.928464410128641
"2171",66.2,6.7,9.7,0.176575331249973
"2181",71.8,5.8,10,0.740492140408974
"2191",78.9,9.1,9.7,1.12749387218476
"2201",71.6,8.7,9.7,0.80683529442768
"2211",71.7,4.3,10,1.64718191199796
"2221",74,6.2,10,2.00101206676439
"2231",71.3,3.2,10,0.640977409380915
"2241",74.2,6.2,9.8,1.60295314265215
"2251",67,8.4,9.7,0.685206178726719
"2261",63.7,5.9,10,0.486176716670601
"2271",64.2,5.1,10,0.950578794801543
"2281",69.3,4.4,10,0.961635987137994
"2291",70.6,5.1,9.9,1.17172264153056
"2301",71.8,4.3,10,0.486176716670601
"2311",72.2,4.3,9.6,1.11643667984831
"2321",77.2,6.8,10,1.37075210358668
"2331",79.4,7.4,10,0.287147254614483
"2341",75.1,7.3,10,0.751549332745425
"2351",72.6,6.3,9.5,0.762606525081876
"2361",72.7,4.4,10,1.13855106452121
"2371",76.9,7.7,10,1.22700860321282
"2381",80.3,8.6,10,1.14960825685766
"2391",84.3,9.3,10,0.519348293679954
"2401",81,9.5,9.9,0.707320563399621
"2411",77,4.5,8.6,0.386661985642542
"2421",80.3,6.7,10,1.0500935258296
"2431",72.9,6.2,9.9,-0.243597977535165
"245",72,7,10,0.994807564147347
"2461",66.2,5.8,10,0.386661985642542
"2471",69.5,6.2,10,0.0107174462032079
"2481",71.5,7.9,10,0.994807564147347
"2491",69.2,4.8,10,0.652034601717366
"2501",76.3,6.9,10,0.91740721779219
"2511",74.8,8.9,10,0.309261639287385
"2521",78.2,8.3,9.6,0.331376023960287
"2531",86.8,10.9,10,0.862121256109935
"2541",82.7,7.7,10,0.375604793306091
"2551",75,7,10,0.220804100595777
"2561",61.8,11,10,0.541462678352856
"2571",59,4.9,10,-0.0998544771613021
"2581",59,4.4,8.8,-0.0335113231425961
"2591",58.9,10.1,10,-0.685885670993205
"2601",58.8,6.2,10,-0.000339746133243097
"2611",67.7,7.2,10,0.176575331249973
"2621",72.6,8.8,7.4,0.165518138913522
"2631",72.6,9.8,10,1.19383702620346
"2641",60.5,9.8,10,0.729434948072523
"2651",56.9,6.5,10,-0.895972325385774
"2661",57.6,5.5,10,0.121289369567718
"2671",60.1,7,10,0.91740721779219
"2681",61.5,5.2,10,0.530405486016405
